lon,lat,phase,sum_greentime,cycle_time,include_link
37.48552,127.04135,7.0,100.0,170.0,19.0
37.4895,127.03162,7.0,127.0,190.0,21.0
37.49788,127.02762,7.0,124.0,170.0,21.0
37.50443,127.02456,6.0,158.0,170.0,19.0
37.51103,127.02133,7.0,142.0,190.0,18.0
37.51611,127.0196,10.0,170.0,190.0,25.0
37.50518,127.06515,8.0,154.0,170.0,27.0
37.52275,127.01954,3.0,136.0,140.0,4.0
37.493,127.03002,7.0,131.0,190.0,18.0
37.49404,127.03343,8.0,154.0,170.0,20.0
37.5005,127.05086,6.0,78.0,90.0,17.0
37.52716,127.02838,8.0,164.0,180.0,29.0
37.48833,127.04991,6.0,78.0,90.0,27.0
37.48965,127.04157,6.0,158.0,170.0,14.0
37.49057,127.03508,8.0,174.0,190.0,14.0
37.49081,127.0554,8.0,154.0,170.0,25.0
37.49235,127.04092,8.0,154.0,170.0,24.0
37.49287,127.05983,3.0,81.0,90.0,8.0
37.49367,127.04517,4.0,162.0,170.0,14.0
37.49416,127.04674,8.0,154.0,170.0,25.0
37.49445,127.06325,7.0,108.0,170.0,20.0
37.49552,127.04612,4.0,162.0,170.0,22.0
37.49581,127.03929,8.0,154.0,170.0,22.0
37.49625,127.05292,8.0,154.0,170.0,24.0
37.49644,127.06989,7.0,103.0,170.0,21.0
37.49685,127.05473,6.0,158.0,170.0,14.0
37.49674,127.04553,4.0,162.0,170.0,17.0
37.4982,127.05887,6.0,158.0,170.0,20.0
37.49848,127.04472,8.0,154.0,170.0,24.0
37.49877,127.05173,4.0,82.0,90.0,14.0
37.49886,127.06093,8.0,154.0,170.0,24.0
37.50013,127.06483,3.0,81.0,90.0,8.0
37.49897,127.03106,5.0,162.0,170.0,22.0
37.50075,127.03698,6.0,158.0,170.0,26.0
37.50098,127.06747,8.0,154.0,170.0,29.0
37.50242,127.0567,6.0,158.0,170.0,11.0
37.50249,127.04271,6.0,158.0,170.0,28.0
37.50305,127.05868,8.0,154.0,170.0,22.0
37.50442,127.04905,6.0,158.0,170.0,24.0
37.50568,127.05295,4.0,162.0,170.0,17.0
37.50677,127.05671,8.0,154.0,170.0,26.0
37.50726,127.03391,8.0,154.0,170.0,24.0
37.5077,127.05946,8.0,154.0,170.0,22.0
37.5087,127.03853,6.0,158.0,170.0,26.0
37.50883,127.06318,8.0,184.0,200.0,33.0
37.51021,127.04389,8.0,154.0,170.0,22.0
37.51233,127.05111,3.0,166.0,170.0,14.0
37.51299,127.05332,8.0,154.0,170.0,24.0
37.51348,127.05631,6.0,158.0,170.0,15.0
37.51392,127.03074,6.0,158.0,170.0,24.0
37.51421,127.06028,10.0,180.0,200.0,34.0
37.51449,127.06183,8.0,184.0,200.0,14.0
37.51465,127.03307,6.0,158.0,170.0,20.0
37.51517,127.06597,4.0,162.0,170.0,21.0
37.51538,127.0354,8.0,154.0,170.0,26.0
37.51622,127.03825,6.0,158.0,170.0,20.0
37.51715,127.04131,8.0,154.0,170.0,22.0
37.51762,127.0438,7.0,158.0,170.0,20.0
37.5181,127.0465,6.0,158.0,170.0,15.0
37.51879,127.05021,8.0,154.0,170.0,24.0
37.51967,127.02815,8.0,174.0,190.0,28.0
37.52003,127.05709,8.0,154.0,170.0,34.0
37.52149,127.03385,8.0,154.0,170.0,34.0
37.52265,127.01964,3.0,136.0,140.0,4.0
37.52312,127.03917,8.0,154.0,170.0,30.0
37.52411,127.02238,7.0,128.0,140.0,20.0
37.52415,127.04739,8.0,154.0,170.0,31.0
37.5249,127.02395,8.0,124.0,140.0,20.0
37.52499,127.05437,6.0,158.0,170.0,20.0
37.52697,127.04379,8.0,154.0,170.0,14.0
37.52778,127.04072,8.0,154.0,170.0,22.0
37.52911,127.03379,8.0,164.0,180.0,26.0
