id,shape
A0A1,"304.80,313.60 304.80,586.40"
A0B0,"313.60,295.20 586.40,295.20"
A0bottom0,"295.20,286.40 295.20,0.00"
A0left0,"286.40,304.80 0.00,304.80"
A1A0,"295.20,586.40 295.20,313.60"
A1A2,"304.80,613.60 304.80,886.40"
A1B1,"313.60,595.20 586.40,595.20"
A1left1,"286.40,604.80 0.00,604.80"
A2A1,"295.20,886.40 295.20,613.60"
A2A3,"304.80,913.60 304.80,1186.40"
A2B2,"313.60,895.20 586.40,895.20"
A2left2,"286.40,904.80 0.00,904.80"
A3A2,"295.20,1186.40 295.20,913.60"
A3B3,"313.60,1195.20 586.40,1195.20"
A3left3,"286.40,1204.80 0.00,1204.80"
A3top0,"304.80,1213.60 304.80,1500.00"
B0A0,"586.40,304.80 313.60,304.80"
B0B1,"604.80,313.60 604.80,586.40"
B0C0,"613.60,295.20 886.40,295.20"
B0bottom1,"595.20,286.40 595.20,0.00"
B1A1,"586.40,604.80 313.60,604.80"
B1B0,"595.20,586.40 595.20,313.60"
B1B2,"604.80,613.60 604.80,886.40"
B1C1,"613.60,595.20 886.40,595.20"
B2A2,"586.40,904.80 313.60,904.80"
B2B1,"595.20,886.40 595.20,613.60"
B2B3,"604.80,913.60 604.80,1186.40"
B2C2,"613.60,895.20 886.40,895.20"
B3A3,"586.40,1204.80 313.60,1204.80"
B3B2,"595.20,1186.40 595.20,913.60"
B3C3,"613.60,1195.20 886.40,1195.20"
B3top1,"604.80,1213.60 604.80,1500.00"
C0B0,"886.40,304.80 613.60,304.80"
C0C1,"904.80,313.60 904.80,586.40"
C0D0,"913.60,295.20 1186.40,295.20"
C0bottom2,"895.20,286.40 895.20,0.00"
C1B1,"886.40,604.80 613.60,604.80"
C1C0,"895.20,586.40 895.20,313.60"
C1C2,"904.80,613.60 904.80,886.40"
C1D1,"913.60,595.20 1186.40,595.20"
C2B2,"886.40,904.80 613.60,904.80"
C2C1,"895.20,886.40 895.20,613.60"
C2C3,"904.80,913.60 904.80,1186.40"
C2D2,"913.60,895.20 1186.40,895.20"
C3B3,"886.40,1204.80 613.60,1204.80"
C3C2,"895.20,1186.40 895.20,913.60"
C3D3,"913.60,1195.20 1186.40,1195.20"
C3top2,"904.80,1213.60 904.80,1500.00"
D0C0,"1186.40,304.80 913.60,304.80"
D0D1,"1204.80,313.60 1204.80,586.40"
D0bottom3,"1195.20,286.40 1195.20,0.00"
D0right0,"1213.60,295.20 1500.00,295.20"
D1C1,"1186.40,604.80 913.60,604.80"
D1D0,"1195.20,586.40 1195.20,313.60"
D1D2,"1204.80,613.60 1204.80,886.40"
D1right1,"1213.60,595.20 1500.00,595.20"
D2C2,"1186.40,904.80 913.60,904.80"
D2D1,"1195.20,886.40 1195.20,613.60"
D2D3,"1204.80,913.60 1204.80,1186.40"
D2right2,"1213.60,895.20 1500.00,895.20"
D3C3,"1186.40,1204.80 913.60,1204.80"
D3D2,"1195.20,1186.40 1195.20,913.60"
D3right3,"1213.60,1195.20 1500.00,1195.20"
D3top3,"1204.80,1213.60 1204.80,1500.00"
bottom0A0,"304.80,0.00 304.80,286.40"
bottom1B0,"604.80,0.00 604.80,286.40"
bottom2C0,"904.80,0.00 904.80,286.40"
bottom3D0,"1204.80,0.00 1204.80,286.40"
left0A0,"0.00,295.20 286.40,295.20"
left1A1,"0.00,595.20 286.40,595.20"
left2A2,"0.00,895.20 286.40,895.20"
left3A3,"0.00,1195.20 286.40,1195.20"
right0D0,"1500.00,304.80 1213.60,304.80"
right1D1,"1500.00,604.80 1213.60,604.80"
right2D2,"1500.00,904.80 1213.60,904.80"
right3D3,"1500.00,1204.80 1213.60,1204.80"
top0A3,"295.20,1500.00 295.20,1213.60"
top1B3,"595.20,1500.00 595.20,1213.60"
top2C3,"895.20,1500.00 895.20,1213.60"
top3D3,"1195.20,1500.00 1195.20,1213.60"
