id,x,y,
1,211730.78,452677.54,2330725114
16,211969.34,452776.25,gneJ208
4,212210.48,452949.86,243749571
10,213033.65,453360.65,cluster_1427494838_273472399
7,213240.97,452982.48,89127267
0,211854.06,452380.69,1863241632
12,211891.64,452219.51,cluster_1863241547_1863241548_1976170214
3,212838.9,452442.96,243641585
19,212852.99,452415.03,gneJ257
6,213385.29,452459.55,30624898
5,213383.65,452432.38,30503246
8,211756.54,451796.68,89173763
9,211776.71,451176.17,89173808
17,213588.57,452098.97,gneJ210
18,213399.24,452062.11,gneJ255
2,212743.37,451715.68,243351999
13,213035.92,451601.45,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_120036392
15,212989.97,451459.17,gneJ207
14,213023.53,451299.65,gneJ143
11,213067.1,451176.18,cluster_1757124350_1757124352
